review,rating,date,bank,source
"poor, glitch stack",1,2025-08-07,Dashen,Google Play Store
slowest banking app ever used,3,2025-08-07,Dashen,Google Play Store
dashen bank super app is the best app,5,2025-08-05,Dashen,Google Play Store
would most likely rate it even less but it does have it's perks. but for the most part the whole app is filled with bugs and it stops being responsive almost everytime. besides some new features and the new ui design i most definitely prefer the old amole version. either fix this mess or bring back amole,2,2025-08-01,Dashen,Google Play Store
sometimes is not working to be honest,1,2025-08-01,Dashen,Google Play Store
why isn't this app working?,5,2025-07-29,Dashen,Google Play Store
network error,5,2025-07-29,Dashen,Google Play Store
fast,5,2025-07-29,Dashen,Google Play Store
100 good,5,2025-07-29,Dashen,Google Play Store
it stop working most of the time.,2,2025-07-28,Dashen,Google Play Store
i were smothely using the app for the last 5 month but somehow its not working to now so what shall i do it becames like i can open the app even i can't open it if u have solution's pls help me kindly tnx,1,2025-07-28,Dashen,Google Play Store
"simple for usage and well designed, attractive in its visual design, ""always one step ahead""",5,2025-07-24,Dashen,Google Play Store
amazing product,5,2025-07-23,Dashen,Google Play Store
"this app is not good and compatible with other ethiopian bank apps, it is not fast, is stacks sometimes ,even some days it stops working at all.",1,2025-07-23,Dashen,Google Play Store
like it,5,2025-07-22,Dashen,Google Play Store
great always one step ahead and most reliable bank,5,2025-07-22,Dashen,Google Play Store
u need to start cash out service,4,2025-07-22,Dashen,Google Play Store
all in one super app,5,2025-07-21,Dashen,Google Play Store
fayla,5,2025-07-20,Dashen,Google Play Store
"the app even in its' first phase is too far one step booster that enables a user to perform a seamless banking service with multi step security features at his/her comfort zone. it really assured that dashen bank is living the logo ""always one step ahead""",5,2025-07-20,Dashen,Google Play Store
ይሄ app ደስ ይላል ሁላችሁም አውርዱት እላለሁ🤭,5,2025-07-19,Dashen,Google Play Store
"best app .. good job, dashen bank",5,2025-07-16,Dashen,Google Play Store
excellent app ...,5,2025-07-15,Dashen,Google Play Store
the worst app i have ever seen,1,2025-07-14,Dashen,Google Play Store
very good compared to amole!,5,2025-07-13,Dashen,Google Play Store
"while it's very secure, it is very slower than other mobile banking apps. it is very lazy app!",2,2025-07-12,Dashen,Google Play Store
👍😊😊😊,5,2025-07-12,Dashen,Google Play Store
great application,5,2025-07-11,Dashen,Google Play Store
i am entreated app.,5,2025-07-09,Dashen,Google Play Store
cannot list the number of bugs with this pile of human waste. the absolute worst banking app i have ever used. 50 steps backwards. do not recommend.,1,2025-07-02,Dashen,Google Play Store
best app with best bank,5,2025-07-02,Dashen,Google Play Store
alway slow loading,1,2025-06-30,Dashen,Google Play Store
"worst app ever and by any chance your account is deactivated, you are doomed",1,2025-06-27,Dashen,Google Play Store
ethiopian amazing`s dashen bank🤝👌,3,2025-06-25,Dashen,Google Play Store
"it's an unpredictable app, i can't make transactions, and now i can't even get the otp! so it's going from bad to worse! thank goodness the amole dashen app still exists.",1,2025-06-25,Dashen,Google Play Store
nice app but limit up to max 600000,5,2025-06-24,Dashen,Google Play Store
"i would be happy if i got a withdraw system in the application. otherwise, everything is fine for me",4,2025-06-18,Dashen,Google Play Store
nice app but transaction limet not enough,5,2025-06-17,Dashen,Google Play Store
"it's an amazing application to use bank transactions in ethiopia and it's so friendly btw, but need to ck that account link when we lost our mobile it's ver difficult to link up for the next one pls ck",5,2025-06-14,Dashen,Google Play Store
dashen bank my choice🇪🇹✌️💫,4,2025-06-13,Dashen,Google Play Store
very simple and user friendly app thank you dashen bank,5,2025-06-12,Dashen,Google Play Store
very good .,5,2025-06-09,Dashen,Google Play Store
i like this mobile banking app very much. overall user interface and navigation is awesome. but it lacks instant response when someone deposit or withdraw money.,2,2025-06-07,Dashen,Google Play Store
መቸሸጠ,5,2025-06-03,Dashen,Google Play Store
gadaa,5,2025-06-01,Dashen,Google Play Store
massive upgrade from the amole app.,5,2025-05-31,Dashen,Google Play Store
very good for this app,5,2025-05-31,Dashen,Google Play Store
top,5,2025-05-31,Dashen,Google Play Store
this app better than amole . but the biometric on new update doesn't work,4,2025-05-31,Dashen,Google Play Store
wow to it saff and this app,5,2025-05-30,Dashen,Google Play Store
it too slow,3,2025-05-29,Dashen,Google Play Store
ዳሽን ባንክ ይለያል,4,2025-05-28,Dashen,Google Play Store
useless app ever loading take long,1,2025-05-27,Dashen,Google Play Store
"game changer app! dashen bank super app is fast, secure, and easy to use. the three-click payment makes sending money super quick, and the qr code payment is perfect for cashless shopping. i also love the biometric login and easy airtime and bill payments. everything i need is in one place. dashen bank has really raised the bar for digital banking in ethiopia. highly recommended!",5,2025-05-26,Dashen,Google Play Store
very useful app,1,2025-05-26,Dashen,Google Play Store
"simple, robust features? yes, please! but the endless loading screen killed the fun—i couldn’t use it for days. fix the glitch, and i’ll yeet a higher rating!",2,2025-05-26,Dashen,Google Play Store
wawww,5,2025-05-24,Dashen,Google Play Store
its best,5,2025-05-23,Dashen,Google Play Store
it is not as good as to the other mobile bank app.,1,2025-05-22,Dashen,Google Play Store
"the best of best is now arrived **empowering your financial freedom** ""experience seamless banking at your fingertips with dashen bank. empowering your financial freedom, anytime, anywhere!"" **innovation meets convenience** ""dashen bank mobile banking: where innovation meets convenience. **secure and reliable** ""bank with confidence",5,2025-05-22,Dashen,Google Play Store
nothing is changed in the updated version. you have been collecting comments but where is the feed back you improved in this version. superapp is mot functioning today.,4,2025-05-20,Dashen,Google Play Store
the best app ever in finance sector,5,2025-05-18,Dashen,Google Play Store
its good app than other compitators but it confuse when we transfer it needs otp and pin most user inter their pin instead of otp we know the litrecy level of our society so if it is device based i dont know the needs of otp so please try to fix,3,2025-05-18,Dashen,Google Play Store
dashen bank or dashen super app?,1,2025-05-17,Dashen,Google Play Store
wowwwe app,5,2025-05-17,Dashen,Google Play Store
"transferring to other bank accounts is a hastle and inconvenient .get used to seeing "" please try again """,2,2025-05-17,Dashen,Google Play Store
always lagging,1,2025-05-16,Dashen,Google Play Store
amazing application...,5,2025-05-16,Dashen,Google Play Store
"dashen bank app is very good, but sometimes it is not working well",5,2025-05-15,Dashen,Google Play Store
its my choice,5,2025-05-15,Dashen,Google Play Store
wow apo,5,2025-05-15,Dashen,Google Play Store
awesome app keep going,5,2025-05-14,Dashen,Google Play Store
"it grows ethiopian digital banking step ahead.all fetures in one,simple fast and convince.",5,2025-05-14,Dashen,Google Play Store
game changer,5,2025-05-13,Dashen,Google Play Store
totally amazing,5,2025-05-13,Dashen,Google Play Store
super 😎,5,2025-05-13,Dashen,Google Play Store
what a helpful app!!!!,5,2025-05-13,Dashen,Google Play Store
"to be honest, best banking and lifestyle app in ethiopia.",5,2025-05-12,Dashen,Google Play Store
"a must have, seamless, all in one digital platform ""db superapp""! keep living your motto ""always one step ahead""",5,2025-05-12,Dashen,Google Play Store
amazing app super easy to use and best design. loved it.,5,2025-05-09,Dashen,Google Play Store
its the best ever,5,2025-05-08,Dashen,Google Play Store
excellent game changer app,5,2025-05-08,Dashen,Google Play Store
i am highly excited by using this application and it is the most favorable as well as preferrable mobile app.,5,2025-05-03,Dashen,Google Play Store
it seems me logging out within minutes,1,2025-05-03,Dashen,Google Play Store
nice app especially gui and i have got some error when you send within dashen bank the receipter is not get sms notification,4,2025-05-03,Dashen,Google Play Store
yes i want dashen super open,5,2025-05-02,Dashen,Google Play Store
faster than this version,5,2025-05-01,Dashen,Google Play Store
"best ui mobile banking app, props to design team",5,2025-04-30,Dashen,Google Play Store
bad.,1,2025-04-30,Dashen,Google Play Store
dashen super app is secure band very easy,5,2025-04-29,Dashen,Google Play Store
it is very fast and secured mobile banking app! i like this app!,5,2025-04-29,Dashen,Google Play Store
best app i have ever seen,5,2025-04-29,Dashen,Google Play Store
its slow when i try to see the recent transaction and stucked,1,2025-04-28,Dashen,Google Play Store
wowslnwoooo wowwww amazing !!!!!!!!,5,2025-04-28,Dashen,Google Play Store
wow appl,5,2025-04-28,Dashen,Google Play Store
why do i have to change a pin number i use my finger print so dummy,1,2025-04-27,Dashen,Google Play Store
"it is very slow and it lacks many features to be a super app. high rating is given by their employees, not by the customers.",1,2025-04-25,Dashen,Google Play Store
"smooth and secure experience transfers, bill payments, and tracking expenses are all effortless. the intuitive design makes banking on the go.",5,2025-04-24,Dashen,Google Play Store
very easy and fast.,5,2025-04-24,Dashen,Google Play Store
incomparably user-friendly and fast app for mobile banking.,5,2025-04-24,Dashen,Google Play Store
"there is nothing super about this app, repeatedly failed transaction and wastes customer valuable time. if you have to do system upgrade do it at a time when there is less traffic demand. your technical difficulty should not be reflected on customer.",2,2025-04-24,Dashen,Google Play Store
execellent,5,2025-04-24,Dashen,Google Play Store
"this super app is a total game-changer—fast, reliable, and packed with everything i need in one place. it’s seamless and super convenient. love it!""",5,2025-04-23,Dashen,Google Play Store
all in one ✍️secure ✍️reliable ✍️convenient. digital banking game changer!!,5,2025-04-23,Dashen,Google Play Store
it is incredible product.,5,2025-04-23,Dashen,Google Play Store
"i'm really impressed with this app! it’s user-friendly, runs smoothly, and has all the features i need. makes my tasks so much easier and saves me a lot of time. highly recommended!",5,2025-04-23,Dashen,Google Play Store
"it's an amazing app, experience it!!",5,2025-04-23,Dashen,Google Play Store
this is the best banking app ever. i recommend everyone to use it.,5,2025-04-23,Dashen,Google Play Store
it is the best application!!!,5,2025-04-22,Dashen,Google Play Store
"exceptional digital experience, supperapp will bring new paradigm shift in the banking business. bravo dashen keep it up!!!!",5,2025-04-22,Dashen,Google Play Store
its features are so dynamic,5,2025-04-22,Dashen,Google Play Store
fast &friendly user application.,5,2025-04-22,Dashen,Google Play Store
"fast, reliable and user friendly. keep it up",5,2025-04-22,Dashen,Google Play Store
"#dashen super app is easy to use, secure & fast transaction😍",5,2025-04-22,Dashen,Google Play Store
i love this app esp 3 click that make e-commerce easier and convinient.,5,2025-04-22,Dashen,Google Play Store
great for everyday banking and payments on the go,5,2025-04-22,Dashen,Google Play Store
"""dashen super app'' is impressive with its focus on simplicity, speed, and quality. the user interface is clean and easy to understand. transactions process quickly, and the overall quality of the app is top-notch. a must-have for dashen bank customers. ዳሸን ባንክ አንድ እርምጃ ቀዳሚ።",5,2025-04-22,Dashen,Google Play Store
making transactions has never been easier. the new update is just amazing,5,2025-04-22,Dashen,Google Play Store
"the app has various usefull functions, which make easy the payment system. also, it will connect with sellers having reasonable prices.",5,2025-04-22,Dashen,Google Play Store
the app has great user interface with comprehensive payments and e-commerce platforms. and also it includes unique features such as chat banking and budget.,5,2025-04-22,Dashen,Google Play Store
betam mirt ena betam le atikakem kelel yale ena michu application nw,5,2025-04-22,Dashen,Google Play Store
convenient!,5,2025-04-22,Dashen,Google Play Store
it is an amazing application that meets the needs of customers.,5,2025-04-22,Dashen,Google Play Store
effecting payment via the app has created convenience to the recipients in easily confirming the payments received!,5,2025-04-22,Dashen,Google Play Store
the best supper app ever,5,2025-04-22,Dashen,Google Play Store
"this is the best app ever, when is it planned to include digital lending and gasification?",5,2025-04-22,Dashen,Google Play Store
"a powerful, local solution that rivals any global app. i love how easy it is to explore services and products.",5,2025-04-22,Dashen,Google Play Store
dashen bank is my number one choice,5,2025-04-22,Dashen,Google Play Store
assefa genetu = dashen superup is the latest and inclussive .i am happy with this super up.,5,2025-04-22,Dashen,Google Play Store
"the app is incredibly user-friendly and brings multiple services into one place. it's fast, intuitive, and makes daily tasks super convenient. a true all-in-one solution!",5,2025-04-21,Dashen,Google Play Store
"proudly made in ethiopia, this innovation delivers more than promised. the marketplace is a major boost for local commerce",5,2025-04-21,Dashen,Google Play Store
it so fanrastic and user friendly app. bravo dashen bank thanks.,5,2025-04-21,Dashen,Google Play Store
"one of the best digital platforms i've used! from smooth transactions to a seamless shopping experience, highly recommended.",5,2025-04-21,Dashen,Google Play Store
a proudly ethiopia innovation that delivers beyond expectations. the marketplace feature is a big win for local shoppers bnd sellers,5,2025-04-21,Dashen,Google Play Store
"dashen super app is a game-changer! it’s fast, user-friendly, and packed with features that make everyday banking and transactions super convenient. i love how everything i need from mobile banking to utility payments is all in one place. the interface is clean, and everything works smoothly. definitely one of the best apps out there. highly recommended!",5,2025-04-21,Dashen,Google Play Store
easy to use and has many options. it is the best financial app i have ever used.,5,2025-04-21,Dashen,Google Play Store
"highly impressed! dash bank really nailed it with this app. secure, reliable, and packed with features i use daily",5,2025-04-21,Dashen,Google Play Store
"one of the best digital platforms i’ve used! from smooth transactions to a seamless shopping experience, highly recommended",5,2025-04-21,Dashen,Google Play Store
very convenient,5,2025-04-21,Dashen,Google Play Store
"the user experience is seamless, and everything just works perfectly right out of the box. i can’t believe how much time and effort it saves me every day.",5,2025-04-21,Dashen,Google Play Store
wawwwww what nice super app !!keep it up dashen bank !!,5,2025-04-21,Dashen,Google Play Store
"dashen superapp the ultimate all-in-one solution! from banking and shopping to bill payments, everything you need is right at your fingertips. life just got a whole lot easier!",5,2025-04-21,Dashen,Google Play Store
"it is,really super because of its unique offerings to individuals and businesses.it is a secure ux first app intended to cater comprehensive digital meeds.i am also happy to know that dashen is considering to make the app more inclusive by lowering the mobile version requirements .",5,2025-04-21,Dashen,Google Play Store
"the very easy, secured, fast and multifunctional dashen supper application i ever seen. dashen really one steps ahead!!!",5,2025-04-21,Dashen,Google Play Store
"one app for everything! i can shop, manage my bank account , and do so much more . truly a super app",5,2025-04-21,Dashen,Google Play Store
one of the best digital platforms i’ve used! from smooth transactions to a seamless shopping experie,5,2025-04-21,Dashen,Google Play Store
"dashen bank super app is the most suitable, reliable, and fast digital banking system.",5,2025-04-21,Dashen,Google Play Store
this is what we call banking app. as professional i want banking app as simple as this and an app rich of features that align with my lifestyle.,5,2025-04-21,Dashen,Google Play Store
thanks again,5,2025-04-21,Dashen,Google Play Store
super easy to use and fast transaction.,5,2025-04-21,Dashen,Google Play Store
"i have an incredible experience with dashen super app, what an amazing platform is it?. keep pioneering in technological advancement 👏👏👏",5,2025-04-21,Dashen,Google Play Store
"i can't recommend the dashen super app enough! this app is truly a game changer for anyone looking for a seamless and efficient way to manage their daily life. it combines multiple essential services into one easy-to-use platform, saving time and simplifying tasks the user interface is modern, intuitive, and super responsive, making navigation a breeze. whether it's banking, payment services, or accessing lifestyle features, everything is just a few clicks away!!",5,2025-04-21,Dashen,Google Play Store
"the app is incredibly handy for managing multiple financial tasks, from bill payments to managing budgets. it’s saved me a lot of time and made banking way more convenient. definitely worth checking out!",5,2025-04-21,Dashen,Google Play Store
what an app,5,2025-04-21,Dashen,Google Play Store
the new e-commerce feature is incredibly amazing and user friendly.,5,2025-04-21,Dashen,Google Play Store
"dashen bank supper app is the most easy to use and have high speed,quality and i like features like chat,budget,fuel payment, and security for my opinion this product is techonolgy edge,this international standard thanks for product oweners (dashen bank)",3,2025-04-21,Dashen,Google Play Store
"the dashen supperapp is a revolutionary advancement in digital banking, combining exceptional usability, an intuitive interface and a seamless user experience. among its standout features are the integration of qr codes, account statement, transaction advise, chat, transaction authentication for limit thresholds, budgeting and different app in a single dashboard. truly ahead of the curve ..... keep up the excellent work 🤝👏",5,2025-04-21,Dashen,Google Play Store
"a proudly ethiopian innovation that delivers beyond expectations. the marketplace feature is a big win for local shoppers and sellers. very impressed with the new updates, the e-commerce section is smooth and supports ethiopian merchants!",5,2025-04-21,Dashen,Google Play Store
"very impressed with the new updates, the e-commerce section is smooth and supports ethiopian merchants.",5,2025-04-21,Dashen,Google Play Store
"dashen bank super app is fast, reliable, and super easy to use. all my banking needs are handled smoothly in one place. clean design and seamless experience – highly recommended!",5,2025-04-21,Dashen,Google Play Store
"db sup app is a platform or an application that can grasp more satisfactions through fastest mode of operation which means for budget planning, to use qr code(scan, pay, go) chat with staff, acc to acc other bank ft, merchant payment, and easly. i addition to i satisfied and i invite everyone to use those platform!!.",5,2025-04-21,Dashen,Google Play Store
the chat banking and unique and only app that alow money request!!,5,2025-04-21,Dashen,Google Play Store
better and inclusive app!,5,2025-04-21,Dashen,Google Play Store
amazing application,5,2025-04-21,Dashen,Google Play Store
it keep my time to pay my bills and i generate my satment easily,5,2025-04-21,Dashen,Google Play Store
"it's an amazing app that is up-to-date with the times, wow wow",5,2025-04-21,Dashen,Google Play Store
a game-changing ethiopian innovation—where shopping meets opportunity. the marketplace feature connects buyers and sellers like never before.,5,2025-04-21,Dashen,Google Play Store
"dashen super app isn’t just an app — it’s an experience. effortless, powerful, and built for the future",5,2025-04-21,Dashen,Google Play Store
"this is an amazing app with uniqe quality,easy and fast mobile banking app.",5,2025-04-21,Dashen,Google Play Store
"dashen superapp is a lifesaver! banking, shopping, and bills in one super easy app. the new e-commerce feature is awesome and supports local merchants. fast, secure, and proudly ethiopian.download it now—you won’t regret it!",5,2025-04-21,Dashen,Google Play Store
"dashen superapp blends finance, shopping, and daily services effortlessly. the new e-commerce feature is smooth and supports local merchants—proud to back an ethiopian-made solution!",5,2025-04-21,Dashen,Google Play Store
"a solid step forward by dashen bank. the superapp combines essential banking features with lifestyle services, making everything accessible in one place. the interface is smooth, and transactions are quick and reliable. it’s clear a lot of thought went into the design and functionality. great job!",5,2025-04-21,Dashen,Google Play Store
dashen bank super app is the crucial and convenient app in ethiopia. there is no other app to compare with dashen bank super app,5,2025-04-21,Dashen,Google Play Store
"all-in-one finance & e-commerce super app! pay, save, shop seamlessly. fast, secure. #bankandshop",5,2025-04-21,Dashen,Google Play Store
it's a hestorical app. in the bank industry.,5,2025-04-21,Dashen,Google Play Store
"a game changer in ethiopian digital banking fast, secure, and packed with services. everything you need, all in one powerful app. a true leap toward financial convenience and innovation!",4,2025-04-21,Dashen,Google Play Store
"easy &,simple to use",5,2025-04-21,Dashen,Google Play Store
"banking, but make it smart. local solutions, all in one place. smooth, fast, and actually saving time. feels like the future. love it!",5,2025-04-21,Dashen,Google Play Store
"all in one, that is it 👌",5,2025-04-21,Dashen,Google Play Store
", dashen bank supper app is multipurpose, convenient, very attractive and make life easier",5,2025-04-21,Dashen,Google Play Store
very easy and flexible app.,5,2025-04-21,Dashen,Google Play Store
"i choose dashen bank super up since, it is easy to use & it has attractive features !",5,2025-04-21,Dashen,Google Play Store
dashen super app is simple faster and reliable.,5,2025-04-21,Dashen,Google Play Store
"dashen bank super app is a game-changer! the user-friendly design, wide range of services, and smooth performance make it incredibly convenient for everyday banking. it’s fast, secure, and truly reflects the bank’s commitment to digital excellence. highly recommended!",5,2025-04-21,Dashen,Google Play Store
"the app keeps getting better with every update! smooth performance, great ui, and top-notch security. thank you for making banking so convenient!""",5,2025-04-21,Dashen,Google Play Store
this app is the most simply to use and secure safe i love it to use for any bank transaction,5,2025-04-21,Dashen,Google Play Store
"after i download the app recently had a smooth expriance, its user friendly, fast, and everything works as expected. keep up the good work.",5,2025-04-21,Dashen,Google Play Store
an app with high performance and advanced features!,5,2025-04-21,Dashen,Google Play Store
"it is a very user friendly, attractive user interface, full of useful features. i really encourage everyone to give it a try.",5,2025-04-21,Dashen,Google Play Store
"good actually , but it have to work when developer option is on 🙏",5,2025-04-21,Dashen,Google Play Store
"all-in-one convenience, from managing accounts to paying bills and shopping online and the chat banking is game changer, this app does it all seamlessly.",5,2025-04-21,Dashen,Google Play Store
i appreciate that dashen bank takes lifestyle services into account.,5,2025-04-21,Dashen,Google Play Store
keep it up!,5,2025-04-21,Dashen,Google Play Store
amazing app really i loved it .that's why we say dashen bank is one stap ahead. it's the best mobile application that should be on every phone.,5,2025-04-21,Dashen,Google Play Store
very comfortable app keep it,5,2025-04-21,Dashen,Google Play Store
it has clear detail information about the application so it helps customer how to use the app. and it is very easy to use and also app is secure.,5,2025-04-21,Dashen,Google Play Store
"i have been using the dashen supper app mobile banking app , and overall, i appreciate its features.however,i’ve noticed that when i turn on the developer options on my device, the app stops functioning properly. it would be great if you could look into this issue, as i often need to access developer settings for other applications . thank you for your attention to this matter!",5,2025-04-21,Dashen,Google Play Store
easiness to use with fast response time,5,2025-04-21,Dashen,Google Play Store
"the new mobile banking application is a major upgrade! it’s incredibly user-friendly, with a clean and modern design that makes navigation simple and intuitive. i really appreciate how fast it loads and how smooth the overall experience is. all essential services like balance checks, transfers, and bill payments are eas y to find and use. the added security features give me peace of mind, and the app runs reliably without crashes or glitches. it’s clear a lot of thought went into the user experi",5,2025-04-21,Dashen,Google Play Store
"as an internal customer, dashen bank superapp has greatly simplified my online banking experience. it's easy to use, allowing me to quickly check balances, transfer money and pay bills. the app's advanced security features are highly secure, ensuring my data is well protected. the three click, chat banking and ips features have also given me a smarter experience. in deed dashen bank is always steping ahead!",5,2025-04-21,Dashen,Google Play Store
"a truly impressive app — user-friendly and a game-changer in ethiopian banking. the dashen super app stands out as one of the most innovative and convenient digital banking solutions in ethiopia’s financial history. smooth navigation, seamless features, and a wide range of services all in one place. well done!",5,2025-04-21,Dashen,Google Play Store
dashen bank super up has very fast and convenience and also it has contain more things on one app .i am very interesting to use dashen bank super up,5,2025-04-21,Dashen,Google Play Store
"the dashen bank super app has truly elevated my mobile banking experience. it's fast, user-friendly, and packed with all the essential features. the interface is clean and intuitive, making navigation easy even for first-time users. i also appreciate the added security features that give me peace of mind while banking on the go. dashen bank has done an amazing job with this app—it’s reliable, efficient, and always improving. highly recommended for anyone looking for seamless digital banking!",5,2025-04-21,Dashen,Google Play Store
a fantastic product!! keep the good work.,5,2025-04-21,Dashen,Google Play Store
"i am very impressed with the dashen super app. it is user-friendly and operates efficiently. the budget and chatbot features are impressive, and all items can be purchased with just three clicks.",5,2025-04-21,Dashen,Google Play Store
"the dashen super app offers a quick and user-friendly experience, bringing together a variety of services, like budgeting, payments, airtime recharges, and more, all in one convenient platform. its sleek design and intuitive navigation ensure effortless transactions. it's evident that dashen bank has carefully crafted the app to make everyday financial activities easier. a great choice for anyone aiming to streamline their digital routines!",5,2025-04-21,Dashen,Google Play Store
dashen supper app is the most useful app for our customers,5,2025-04-21,Dashen,Google Play Store
it is the most amazing mobile app,5,2025-04-21,Dashen,Google Play Store
a good and fast supper app thanks for dashen bank,5,2025-04-21,Dashen,Google Play Store
"dear users of the dashen bank super app,i have been using the dashen bank super app for a while now, and i must say—it’s truly a game-changer! the app is incredibly fast and reliable; i’ve never encountered any delays with my transactions. one feature i absolutely love is chat banking. it makes everyday tasks like checking my balance or transferring money as simple as sending a quick message. also, the budgeting tool has been a huge help in tracking my spending and giving me a clearer",5,2025-04-21,Dashen,Google Play Store
too best,1,2025-04-21,Dashen,Google Play Store
"dashen bank super up,use the app and makes your easy,fast,convinent.",5,2025-04-21,Dashen,Google Play Store
to join digital world use supper app and make your life easy,5,2025-04-21,Dashen,Google Play Store
best mobile banking application,5,2025-04-21,Dashen,Google Play Store
"this banking superapp is incredibly well designed. the design and appearance of the app and the overall experience i have when using the app is fantastic. the app is packed with features from banking to e-commerce all in one place.it even has a budget setting option which is super useful for managing my money. everything runs smoothly and i love how convenient it has made my daily life. huge kudos to dashen bank. you are truly living up to the motto ''always one step ahead."" keep it up!",5,2025-04-21,Dashen,Google Play Store
i was really amazed by the idea of an e-commerce service on a banking app. this is what it means to be one step ahead. please include all kinds of products in there as soon as possible.,5,2025-04-21,Dashen,Google Play Store
this is what we expect to get service dashen bank always like his slogan,5,2025-04-21,Dashen,Google Play Store
"dashen supapp is the most contemporary application, offering a great experience by enabling users to perform multiple tasks through a single platform—such as chatting with friends, transferring money, paying bills, and more. it is the first app of its kind in the ethiopian banking industry, making it a remarkable opportunity for entrepreneurs working in app-based sales and software marketing. good job, dashen bank!",5,2025-04-21,Dashen,Google Play Store
dashen super app gives me an amazing convenience and makes life easy.,5,2025-04-21,Dashen,Google Play Store
excellent mobile banking app,5,2025-04-21,Dashen,Google Play Store
wow! like his name super app...,5,2025-04-21,Dashen,Google Play Store
dashen supper app is the most special. ይምቾቱ ይለያያል!!!!,5,2025-04-21,Dashen,Google Play Store
convenient and fast,5,2025-04-21,Dashen,Google Play Store
best- in-class app.,5,2025-04-21,Dashen,Google Play Store
i really like this amazing application and dashen supper app that has made my life easier.,5,2025-04-21,Dashen,Google Play Store
superb,5,2025-04-21,Dashen,Google Play Store
"amazing features, faster and easy to use",5,2025-04-21,Dashen,Google Play Store
"the dashen super app offers a modern, user-friendly experience that leverages the latest technological advancements to deliver a seamless e-commerce platform",5,2025-04-21,Dashen,Google Play Store
best app!,5,2025-04-21,Dashen,Google Play Store
i love it. one of the best mobile banking app in the banking industry,5,2025-04-21,Dashen,Google Play Store
no working for me hulum information asgebiche continue or accept yemilew button ayeseram my phone is samsung a51,1,2025-04-21,Dashen,Google Play Store
waw no idea the best app.,5,2025-04-19,Dashen,Google Play Store
fast best app,5,2025-04-18,Dashen,Google Play Store
nice app ever,5,2025-04-17,Dashen,Google Play Store
"feature-rich? absolutely. but the speed? painfully slow. seriously, is it communicating with a server on mars or something?",5,2025-04-16,Dashen,Google Play Store
"the dashen super app delivers a remarkably fast, highly secure, and exceptionally user-friendly experience, establishing it as a leading application in its category.keep it up and stay ahead dashen bank.",5,2025-04-14,Dashen,Google Play Store
so far so good! their in person customer service is amazing 👏,5,2025-04-14,Dashen,Google Play Store
the app is very backward and doesn't always work. if it works three hours out of 24 hours it's great!😥,1,2025-04-14,Dashen,Google Play Store
ምርጫዬ ነው,5,2025-04-13,Dashen,Google Play Store
it's bad for the connection and too many days are it that not working,1,2025-04-12,Dashen,Google Play Store
it's samart,5,2025-04-10,Dashen,Google Play Store
"the app is not working properly, i have been using it.",1,2025-04-10,Dashen,Google Play Store
it is very good app,5,2025-04-10,Dashen,Google Play Store
"i had a disappointing experience with dashen bank's super up service. the app is very slow and takes forever to load during transactions, which is incredibly frustrating. additionally, it doesn't generate receipts for any transactions, making it difficult to keep track of my expenses. i also reached out to customer support, but the response time was longer than expected. overall, i was hoping for a better experience, but i find the service lacking and in need of improvement.",2,2025-04-09,Dashen,Google Play Store
slow cumbersome,3,2025-04-08,Dashen,Google Play Store
is really 💀,2,2025-04-08,Dashen,Google Play Store
it's slow to send otp. it's not reliable. it crushed many times. it needs improvement in many ways,1,2025-04-07,Dashen,Google Play Store
"this is the worst mobile banking experience i’ve ever had. it doesn’t work when you need it, and it randomly updates itself without warning. you can’t make transactions whenever you want. it’s a nightmare for anyone who relies on this as their main banking option, especially those with a lot of money in their account. i’m lucky i’m not one of them, but still, it’s infuriating not being able to access your money when you need it.""l",1,2025-04-07,Dashen,Google Play Store
"i have experienced on using the app of banks in ethiopia, this dashen sup is like old version of the applications for using. i gave 3 star for it's very low speed while login and processing",3,2025-04-07,Dashen,Google Play Store
proud by dashen bank,5,2025-04-06,Dashen,Google Play Store
this app is not working unless you turn off developer mode on your phone. so it takes your rights to just use it.,2,2025-04-04,Dashen,Google Play Store
real super up,5,2025-04-04,Dashen,Google Play Store
it's very disappointing fix it as soon as possible not expected from dashin bank fix it,1,2025-04-04,Dashen,Google Play Store
why dashen bank workers hidden my atm card 🏧?it's a big problem to me,5,2025-04-04,Dashen,Google Play Store
tanku,5,2025-04-04,Dashen,Google Play Store
why does it ask me for both pin and opt even the opt is touch let alone both,2,2025-04-02,Dashen,Google Play Store
it is best app easy to use,5,2025-04-01,Dashen,Google Play Store
it is very easy to use and powerful application.,3,2025-04-01,Dashen,Google Play Store
this apps have a good feature but but some features like developer mode turn off irritate user,3,2025-03-31,Dashen,Google Play Store
"this is not only a mobile banking app, it is beyond that. we will access our account easily, we are able to get many information easily here. i.e. exchage rate. we are able to chat with others, we are able to budget, we are able to transfer to other bank and within dashen. we are able to access many accounts in a single app, we are able to pay bills in qr scan, we are able to make payments and order delivery items here in a single app. #always one step ahead.",5,2025-03-31,Dashen,Google Play Store
wallahi very fantastic bank,5,2025-03-31,Dashen,Google Play Store
"waw, it's amazing app. thank you dashen bank.",5,2025-03-31,Dashen,Google Play Store
